DomainValueId;Description
220;Raso (25-50 cm)
221;Moderadamente profundo (50-100 cm)
222;Profundo (100-150 cm)
223;Muito profundo (>150 cm)
224;Não observado
225;Água freática rasa (2-3 m)
226;Água freática moderadamente profunda (3-5 m)
227;Água freática profunda (5-8 m)
228;Água freática extremamente profunda (> 8 m)
229;Desconhecido
230;Salina
231;Salobra
232;Fresca
233;Poluída
234;Oxigenada
235;Estagnada
236;Seco
237;Ligeiramente úmido
238;Úmido
239;Molhado
240;Muito fina
241;Cultivo de árvores e arbustos
242;Fina
243;Média
244;Grossa
245;Muito grossa
246;Fina e muito fina
247;Fina e média
248;Fina a grossa
249;Média e grossa
250;Média a muito grossa
251;Grossa e muito grossa
252;Argila
253;Argila e sesquióxidos
254;Argila e húmus (matéria orgânica)
255;Faces de pressão
256;Superfícies de fricção, sem intersecção
257;Superfícies de fricção, parcialmente intersectadas
258;Superfícies de fricção, predominantemente intersectadas
259;Faces brilhantes (como em propriedades níticas)
260;Nenhuma evidência de erosão
261;Erosão ou deposição eólica
262;Erosão ou depósito eólica
263;Movimento de massa (deslizamentos de terra e fenômenos similares)
264;Desconhecido
265;Erosão laminar
266;Erosão em sulcos
267;Voçorocas/ravinas
268;Erosão em túnel
269;Deposição hídrica
2263;Março
270;Erosão hídrica e eólica
271;Deposição eólica
272;Erosão e deposição eólica
273;Areias movediças
274;Deposição de sal
275;Areia muito fina
276;Areia fina
277;Areia grossa
278;Areia média
279;Areia indiferenciada
280;Ensolarado/claro
281;Parcialmente nublado
282;Nublado
284;Granizo
285;Neve
286;Sem chuva no último mês
287;Sem chuva na última semana
288;Sem chuva nas últimas 24 horas
289;Chuvoso, mas sem chuva forte nas últimas 24 horas
290;Chuva forte por alguns dias ou tempestades nas últimas 24 horas
291;Tempo extremamente chuvoso ou derretimento de neve
292;Pergélico
293;Cryico
294;Frígido
295;Isofrígido
296;Melões
297;Mésico
298;Isomésico
299;Térmico
334;Cultivo irrigado
300;Isotérmico
301;Hipertérmico
302;Isohipertérmico
304;Peráquico
306;Perúdico
307;Ústico
308;Xérico
309;Arídico
310;Tórrico
2238;Muito fraco
311;Descrição de referência do perfil
312;Descrição de referência do perfil 
313;Descrição de rotina do perfil
314;Descrição de rotina do perfil
315;Não utilizada e não manejada
316;Cereais
317;Cevada
318;Brunada
319;Descrição incompleta
320;Descrição incompleta
321;Descrição do solo por tradagem
322;Descrição do solo por tradagem
323;Outras descrições
324;Agricultura (cultivos agrícolas)
325;Campo de cultivo anual
326;Agricultura itinerante/migratória
327;Sistema de cultivo com pousio
328;Agricultura alternada com pecuária
329;Cultivo de sequeiro arável
330;Cultivo de arroz inundado
331;Cultivo irrigado
332;Campo de cultivo perene
333;Cultivo não-irrigado
335;Cultivo arbóreo não-irrigado
336;Cultivo arbóreo irrigado
337;Cultivo arbustivo não-irrigado
338;Cultivo arbustivo irrigado
339;Cultivo de sequeiro arável tradicional
340;Cultivo de sequeiro arável tradicional melhorado
341;Cultivo de sequeiro arável tradicional mecanizado
342;Cultivo de sequeiro arável comercial
343;Cultivo de sequeiro arável não especificado
344;Agricultura mista
345;Agroflorestal
346;Agropastoralismo
347;Pecuária
348;Pastoreio extensivo
349;Nomadismo
2239;Muito forte
350;Semi-nomadismo
351;Pecuária extensiva ('ranching')
352;Pastoreio intensivo
353;Gado de corte
354;Gado de leite
355;Silvicultura
356;Floresta natural e florestamento
357;Corte seletivo
358;Corte raso
359;Plantação florestal
360;Proteção da natureza
361;Preservação da natureza e recreação
362;Reservas
363;Parques
364;Gestão da vida selvagem
365;Controle da degradação
366;Sem interferência
367;Com interferência
368;Área residencial, indústria
369;Uso residencial
370;Uso industrial
371;Transporte
372;Uso recreativo
373;Escavações
374;Locais de disposição
375;Área militar
376;Outras utilizações das terras
377;Milho (cereal)
378;Milheto
379;Aveia
380;Arroz, inundado
381;Arroz, sequeiro
382;Centeio
383;Sorgo
384;Trigo
385;Culturas oleaginosas
386;Cocos
387;Amendoins
388;Linhaça
389;Oliveiras
390;Palmeira oleaginosa
391;Colza
392;Sésamo/gergelim
393;Soja
394;Girassol
395;Plantas forrageiras
396;Alfafa
397;Trevo
398;Gramas
399;Feno
400;Leguminosas
401;Milho (planta forrageira)
402;Abóboras
403;Raízes e tubérculos
404;Mandioca
405;Batatas
406;Beterraba sacarina
407;Inhames
408;Frutas e melões
409;Maçãs
410;Bananas
411;Citrus
412;Uvas, vinho, passas
413;Mangas
414;Culturas de fibras
415;Algodão
416;Juta
417;Legumes
418;Grãos de vagens
419;Feijões
420;Lentilhas
421;Ervilhas
422;Alimentos semi-luxuosos e tabaco
423;Cacau
424;Café
425;Chá
426;Tabaco
427;Outras culturas
428;Cana-de-açúcar
429;Seringueira
430;Palmeiras (fibras, sementes)
431;Nenhuma influência
432;Desconhecido
433;Vegetação ligeiramente perturbada
434;Vegetação moderadamente perturbada
435;Vegetação fortemente perturbada
436;Vegetação perturbada (não especificado)
437;Irrigação por aspersão
438;Irrigação por sulcos
439;Irrigação por gotejamento
440;Irrigação por inundação
441;Irrigação por diques
442;Irrigação (não especificado)
443;Drenagem artificial
444;Aplicação de fertilizantes
445;Aterro (inclusive sanitário)
446;Nivelamento
447;Arqueológico (túmulo, sambaquis)
448;Cratera de impacto
449;Construção de diques ('bunding')
450;Queimada
451;Terraceamento
452;Aração
453;Plaggen
454;Arbusto anão
455;Canteiros levantados (para fins agrícolas)
456;Canteiros levantados (para fins de engenharia)
457;Adições de areia
458;Adições minerais (não especificado)
459;Adições orgânicas (não especificado)
460;Poluição
461;Desbravamento ('clearing')
462;Compactação superficial
463;Área decapada
464;Área de empréstimo
465;Área de despejo (não especificado)
466;Mina (superfície, incluindo a céu aberto, cascalho e pedreiras)
467;Natural muito jovem (1-10 anos): com perda por erosão ou deposição de materiais como em planícies de maré, dunas costeiras, vales de rios, deslizamentos de terra ou em áreas desérticas.
468;Antropogeomórfica muito jovem (1-10 anos): com total perturbação das superfícies naturais (e solos), como nas áreas urbanas, industriais e áreas de mineração, apresentando desenvolvimento muito recente do solo a partir de materiais naturais frescos ou tecnogênicos ou uma mistura de materiais.
469;Natural jovem (10-100 anos): com perda por erosão ou deposição de materiais como em planícies de maré, dunas costeiras, vales de rios, deslizamentos de terra ou em áreas desérticas.
470;Antropogeomórfica jovem (10-100 anos): com total perturbação das superfícies naturais (e solos), tais como nas zonas urbanas, industriais e áreas de mineração, apresentando desenvolvimento recente do solo a partir de materiais naturais frescos ou tecnogênicos ou uma mistura de materiais, ou de restrição de inundação por diques.
471;Natural do Holoceno (100-10.000 anos): com perda por erosão ou deposição de materiais como em planícies de maré, dunas costeiras, vales de rios, deslizamentos de terra ou em áreas desérticas.
472;Antropogeomórfica do Holoceno (100-10.000 anos): as modificações feitas pelo homem no relevo, como terraceamento dos morros ou encostas por civilizações antigas ou durante a Idade Média, ou mais cedo, restrição de inundações por diques, ou a elevação da superfície.
473;Pleistoceno superior, coberta com gelo, comumente com formação recente do solo sobre materiais frescos.
474;Pleistoceno superior, periglacial, comumente com formação recente do solo sobre materiais pré-intemperizados.
475;Pleistoceno superior, sem influência periglacial.
476;Pleistoceno médio e inferior, coberta de gelo, comumente com formação recente do solo sobre material pré-intemperizado mais jovem sobre outro mais velho.
477;Pleistoceno médio e inferior, com influência periglacial, comumente com formação recente do solo sobre material pré-intemperizado mais jovem sobre outro mais velho.
478;Pleistoceno médio e inferior, sem influência periglacial.
479;Profunda (10-20 cm)
480;Superfícies do Terciário, comumente planos elevados, terraços ou peneplanícies, exceto vales incisos, ocorrência frequente de paleossolos.
481;Mais antigas, superfícies anteriores ao Terciário, comumente planos elevados, terraços ou peneplanícies, exceto vales incisos, ocorrência frequente de paleossolos.
482;Retilíneo
483;Côncavo
484;Convexo
485;Terraceado
486;Complexo (irregular)
487;Nenhum (0%)
488;Muito pouco (0-2%)
489;Pouco (2-5%)
490;Comum (5-15%)
491;Muito (15-40%)
492;Abundante (40-80%)
493;Dominante (>80%)
494;> 50 m
495;20-50 m
496;5-20 m
497;2-5 m
498;< 2 m
499;Cascalho fino (0,2-0,6 cm)
500;Cascalho médio (0,6-2,0 cm)
501;Cascalho grosso (2-6 cm)
502;Calhaus (6-20 cm)
503;Matacão (20-60 cm)
504;Matacão grande (60-200 cm)
505;Nenhuma evidência de erosão
506;Erosão ou deposição hídrica
507;Erosão laminar
508;Erosão em sulcos
509;Voçorocas/ravinas
510;Erosão em túnel
511;Deposição hídrica
512;Erosão eólica e hídrica
513;Movimento de massa (deslizamentos de terra e fenômenos similares)
514;Desconhecido
515;Erosão ou deposição eólica
516;Deposição eólica
517;Erosão e deposição eólica
518;Areias movediças
519;Deposição de sal
520;0%
521;0-5%
522;5-10%
523;10-25%
524;25-50%
525;> 50%
526;Ligeira
527;Moderada
528;Severa
529;Extrema
530;Ativo no presente
531;Ativa no passado recente (últimos 50-100 anos)
532;Ativa em tempos históricos
533;Período de atividade desconhecido
534;Erosão natural e acelerada não distinta
536;Fina (< 2 mm)
537;Média (2-5 mm)
538;Espessa (5-20 mm)
539;Muito espessa (> 20 mm)
540;Ligeiramente dura
541;Dura
542;Muito dura
543;Extremamente dura
544;Fina (< 1 cm)
545;Média (1-2 cm)
546;Larga (2-5 mm)
547;Muito larga (5-10 cm)
548;Extremamente larga (> 10 cm)
549;Muito próximas (< 0,2 m)
550;Próximas (0,2-0,5 m)
551;Moderadamente espaçadas (0,5-2,0 m)
552;Bastante espaçados (2-5 m)
553;Muito espaçadas (> 5 m)
554;Superficial (< 2 cm)
555;Média (2-10 cm)
556;Muito profunda (>20 cm)
557;Nenhuma (0-2%)
558;Baixa (2-15%)
559;Moderada (15-40%)
560;Alta (40-80%)
561;Dominante (> 80%)
562;Sem vegetação
563;Pradaria (gramíneas, dicotiledôneas secundárias, sem espécies lenhosas)
564;'Forbland' (predomínio de plantas herbáceas)
565;Savana (gramíneas com uma camada descontínua de árvores ou arbustos)
566;Floresta fechada (estrato arbóreo contínuo, copas sobrepostas, grande número de espécies arbóreas e em camadas distintas)
567;Floresta latifoliada perenifólia
568;Floresta de coníferas
569;Floresta semidecidual
570;Floresta decidual
571;Floresta xeromórfica
572;Floresta aberta (estrato arbóreo contínuo, copas não costumam tocar, sub-bosque pode estar presente)
573;Floresta aberta perenifólia
574;Floresta aberta semidecidual
575;Floresta aberta decidual
576;Floresta aberta xeromórfica
577;Arbusto
578;Arbusto perenifólio
579;Arbusto semidecidual
580;Arbusto decidual
581;Arbusto xeromórfico
582;Arbusto anão perenifólio
583;Arbusto anão semidecidual
584;Arbusto anão decidual
585;Arbusto anão xeromórfico
586;Tundra
587;Herbáceo
588;Pradaria alta
589;Pradaria média
590;Pradaria baixa
591;Dicotiledôneas
592;Turfeira alimentada por água da chuva
593;Turfeira alimentada por águas subterrâneas
594;Topo/cume, em terreno ondulado a montanhoso
595;Terço superior, em terreno ondulado a montanhoso
596;Terço médio, em terreno ondulado a montanhoso
597;Terço inferior, em terreno ondulado a montanhoso
598;Sopé, em terreno ondulado a montanhoso
600;Parte mais alta, em terreno plano ou quase plano
601;Parte intermediária, em terreno plano ou quase plano
602;Parte inferior, em terreno plano ou quase plano
603;Várzea (linha de drenagem), em terreno plano ou quase plano
655;Abundante (40-80%)
604;Terrenos planos
658;Cascalho pequeno (2-6 mm)
605;Planície
606;Planalto
607;Depressão
608;Fundo de vale
609;Terrenos ondulados
610;Zona escarpada com médio gradiente
611;Colina com médio gradiente
612;Montanha com médio gradiente
613;Planície dissecada
614;Vale com médio gradiente
615;Terreno íngremes
616;Zona escarpada com grande gradiente
617;Colina com grande gradiente
618;Montanha com grande gradiente
619;Vale com grande gradiente
620;Abrupta (0-2 cm)
621;Clara (2-5 cm)
622;Gradual (5-15 cm)
623;Difusa (> 15 cm)
624;"Plana: superfície quase plana"
625;"Ondulada: reentrâncias mais largas do que profundas"
626;"Irregular: reentrâncias mais profundas do que largas"
627;"Quebrada: descontínua"
628;Areia (indiferenciada)
629;Areia-franca
630;Franco-arenosa
631;Franco-argilo-arenosa
632;Franco-siltosa
633;Franco-argilo-siItosa
634;Franco-argilosa
635;Franca
636;Silte
637;Argilo-arenosa
638;Argilossiltosa
639;Argila
640;Muito argilosa
641;Areia muito fina
642;Areia fina
643;Areia média
644;Areia grossa
645;Areia-franca muito fina
646;Areia-franca-fina
647;Areia-franca-grossa
