DomainValueId;Description
1011;Multicolorido
1012;Muito fina (< 0,5 mm)
1013;Fina (0,5-2 mm)
1014;Muito fina e fina (< 2 mm)
1015;Fina e média (0,5-5 mm)
1016;Médio e grossa (> 2 mm)
1017;Ausente
1018;Muito poucas
1019;Poucas
1020;Comuns
1021;Muitas
1022;Ausente
1023;Pouca
1024;Comum
1025;Muita
1026;Artefatos
1027;Tocas (não-especificado)
1028;Tocas grandes abertas
1029;Tocas grandes preenchidas
1030;Carvão vegetal
1031;Galerias de minhoca
1032;Pedotúbulos
1033;Galerias e ninhos de cupins ou formigas
1034;Outras atividades de insetos
1035;Material artesanal natural
1036;Poeira industrial
1037;Material misto
1038;Lixo orgânico
1039;Pavimentos e pedras de pavimentação
1040;Líquido sintético
1041;Sólido sintético
1042;Lodos
1043;Ausente
1044;Em forma de cuesta
1045;Acidentado/espinhaço
1046;Coberta por inselberg (ocupando > 1% das terras em nível)
1047;Com planícies intermontanas (ocupando > 15%)
1048;Com pântanos (ocupando > 15%)
1049;Em forma de abóbada
1050;Terraceado
1051;Em forma de duna
1052;Karst forte
1053;Ausente
1054;Petroquímico
1055;Sulfuroso
1056;Indicação positiva para características ândicas
1057;Nenhuma indicação para características ândicas
1058;Terras em nível
1059;Planície (gradiente < 8%, intensidade do relevo < 100 m/km)
1129;Rocha ígnea ultrabásica: ilmenita, magnetita, ironstone, serpentina
1130;Rocha metamórfica
1131;Rocha metamórfica ácida
1060;Planalto (gradiente < 8%, intensidade do relevo < 100 m/km)
1061;Grande depressão (gradiente > 8%)
1062;Depressão (gradiente < 8%, intensidade do relevo < 100 m/km)
1063;Terço inferior com pequeno gradiente (gradiente < 8%, intensidade do relevo < 100 m/km)
1064;Fundo de vale (gradiente < 8%, intensidade do relevo < 100 m/km)
1065;Nível muito baixo (planícies, etc.): < 300 m para terras planas e terras inclinadas com intensidade de relevo < 50 m/unidade de terreno.
1066;Nenhuma evidência visível de erosão
1067;Terrenos ondulados
1068;Montanha de médio gradiente (gradiente de 15-30%, intensidade do relevo > 600 m/2 km)
1069;Morros de médio gradiente (gradiente de 8-30%, intensidade do relevo > 50 m/unidade de terreno)
1070;Zona escarpada de médio gradiente (gradiente de 15-30%, intensidade do relevo < 600 m/2 km)
1071;Cumes/cristas (gradiente de 8-30%, intensidade do relevo > 50 m/unidade de terreno)
1072;Planalto montanhoso (gradiente de 15-30%, intensidade do relevo > 600 m/2 km)
1073;Planície dissecada (gradiente de 8-30%, intensidade do relevo < 50 m/unidade de terreno)
1074;Terreno íngreme
1117;Rocha ígnea ácida: quartzo-diorito
1118;Rocha ígnea ácida: riolito
1075;Montanha com grande gradiente (gradiente > 30%, intensidade do relevo > 600 m/2 km)
1076;Colina com grande gradiente (gradiente > 30%, intensidade do relevo < 600 m/2 km)
1077;Zona escarpada com grande gradiente (gradiente > 30%, intensidade do relevo > 600 m/2 km)
1078;Vale com grande gradiente (gradiente > 30%)
1132;Rocha metamórfica ácida: quartzito
1134;Rocha metamórfica ácida: ardósia, filito, (rochas pellitic)
1135;Rocha metamórfica ácida: xisto
1079;Terreno com geoformas compostas (gradiente > 8%)
1080;Vale (gradiente > 8%)
1081;Planalto estreito (gradiente > 8%)
1082;Plano, alagada, com declividade dominante de 0-2%. Alagada é definido pela presença permanente de água na superfície em 50-90% da área (geoforma simples).
1083;Plano, com declividade dominante de 0-2% (geoforma simples).
1084;Suave ondulado, com declividade dominante de 2-5% (geoforma simples).
1085;Ondulante, com declividade dominante de 5-8% (geoforma simples).
1086;Ondulado, com declividade dominante de 8-15% (geoforma simples).
1087;Moderadamente íngreme, com declividade dominante de 15-30% (geoforma simples).
1088;Íngreme, com declividade dominante de 30-60% (geoforma simples).
1089;Muito íngreme, com declividade dominante ≥ 60% (geoforma simples).
1090;Com forma de cuesta (geoforma complexa)
1091;Com forma de abóbada (geoforma complexa)
1092;Acidentado/espinhaço (geoforma complexa)
1093;Terraceado (geoforma complexa)
1094;Coberta por inselberg (geoforma complexa, cobrindo pelo menos 1% das terras planas)
1095;Em forma de duna (geoforma complexa)
1096;Com planícies intermontanas (geoforma complexa, ocupando pelo menos 15%)
1097;Com pântanos (geoforma complexa, ocupando pelo menos 15%)
1098;Karst forte (geoforma complexa)
1099;Nível baixo: 300-600 m para terras planas e terras inclinadas com intensidade de relevo < 50 m/unidade de terreno
1100;Nível médio: 600-1500 m para terras planas e terras inclinadas com intensidade de relevo < 50 m/unidade de terreno
1101;Nível alto: 1500-3000 m para terras planas e terras inclinadas com intensidade de relevo < 50 m/unidade de terreno
1102;Nível muito alto: ≥ 3000 m para terras planas e terras inclinadas com intensidade de relevo < 50 m/unidade de terreno
1103;Baixo (morros, etc): < 200 m para terras inclinadas com intensidade de relevo > 50 m/unidade de terreno
1104;Médio: 200-400 m para terras inclinadas com intensidade de relevo > 50 m/unidade de terreno
1105;Alto: ≥ 400 m para terras inclinadas com intensidade de relevo > 50 m/unidade de terreno
1106;Baixo (montanhas, etc): 600-1500 m para terras íngremes e inclinadas com intensidade de relevo > 600 m/2 km
1107;Médio: 1500-3000 m para terras íngremes e inclinadas com intensidade de relevo > 600 m/2 km
1108;Alto: 3000-5000 m para terras íngremes e inclinadas com intensidade de relevo > 600 m/2 km
1109;Muito alto: ≥ 5000 m para terras íngremes e inclinadas com intensidade de relevo > 600 m/2 km
1110;Ligeiramente dissecado: < 10 km/km²
1111;Dissecado: 10-25 km/km²
1112;Fortemente dissecado: ≥ 25 km/km²
1113;Rocha ígnea
1114;Rocha ígnea ácida
1115;Rocha ígnea ácida: granito
1116;Rocha ígnea ácida: granodiorito
1119;Rocha ígnea intermediária
1120;Rocha ígnea intermediária: andesito, traquito, fonólito
1121;Rocha ígnea intermediária: diorito-sienito
1122;Rocha ígnea básica
1123;Rocha ígnea básica: gabro
1124;Rocha ígnea básica: basalto
1125;Rocha ígnea básica: dolerito
1126;Rocha ígnea ultrabásica
1127;Rocha ígnea ultrabásica: peridotito
1128;Rocha ígnea ultrabásica: piroxenito
1286;Maciça (sem estrutura)
1133;Rocha metamórfica ácida: gnaisse, migmatito
1136;Rocha metamórfica básica
1137;Rocha metamórfica básica: ardósia, filito (rochas pelíticas)
1138;Rocha metamórfica básica: xisto
1139;Rocha metamórfica básica: gnaisse rico em minerais ferro-magnesianos
1140;Rocha metamórfica básica: calcário metamórfico (mármore)
1141;Rocha sedimentar
1142;Sedimentos clásticos
1143;Sedimentos clásticos: conglomerado, brecha
1144;Sedimentos clásticos: arenito, grauvaques, arcósios
1145;Sedimentos clásticos: siltito, argilito (mudstone), argilito
1146;Sedimentos clásticos: argilito (shale)
1147;Sedimentos clásticos: ironstone
1148;Rocha sedimentar orgânica
1149;Rocha sedimentar orgânica: calcário, outras rochas carbonáticas
1150;Rocha sedimentar orgânica: marga e outras misturas
1151;Rocha sedimentar orgânica: carvões, betume e rochas relacionados
1152;Evaporitos
1153;Evaporitos: anidrita, gipsita
1154;Evaporitos: halita
1155;Rocha não-consolidada
1156;Rocha não-consolidada: fluvial
1157;Rocha não-consolidada: lacustre
1158;Rocha não-consolidada: marinha
1159;Rochas não-consolidadas: coluvial
1160;Rocha não-consolidada: eólica
1161;Rocha não-consolidada: glacial
1162;Rocha não-consolidada: piroclástica
1163;Rocha não-consolidada: orgânica
1164;Erosão laminar
1165;Erosão em sulcos
1166;Voçoroca/ravina
1167;Erosão em túnel
1168;Deposição hídrica
1169;Erosão eólica e hídrica
1170;Erosão e deposição eólica
1171;Deposição eólica
1172;Areia movediça
1173;Deposição de sal
1174;Tipo de erosão desconhecido
1175;Muito raso (< 30 cm)
1176;Raso (30-50 cm)
1177;Moderadamente profundo (50-100 cm)
1178;Profundo (100-150 cm)
1179;Muito profundo (≥ 150 cm)
1180;Vertente uniforme
1181;Côncavo, diminuição do gradiente ladeira abaixo
1182;Convexo, aumento do gradiente ladeira abaixo
1183;Vertente irregular
1369;Cinza-brunado-claro
1184;Hummocky
1185;Com montes
1186;Com torres
1187;Acidentado/espinhaço
1188;Terraceado
1189;Ravinado/voçorocado
1285;Em grumos (esferoidal ou poliédrica, porosa)
1190;Fortemente dissecado
1191;Dissecado
1192;Ligeiramente dissecado
1193;Muito argilosa - mais de 60% de argila
1194;Argilosa - classes de textura argilo-arenosa, argilossiltosa e argila
1195;Franca - classes de textura franca, franco-argilo-arenosa, franco-argilosa, silte, franco-siltosa e franco-argilo-siltosa
1196;Arenosa - classes de textura areia-franca e franco-arenosa
1197;Extremamente arenosa - classe de textura areia
1198;Extremamente lenta
1199;Salobra
1200;Lenta
1201;Boa
1202;Rápida
1203;Muito rápida
1204;Alta
1205;Meio
1206;Baixa
1207;Mais baixa
1208;Todas
1209;Nenhuma
1210;Fraca
1211;Moderada
1212;Forte
1213;Muito lenta (< 0,1 cm/h)
1214;Lenta (0,1-0,5 cm/h)
1215;Moderadamente lenta (0,5-2,0 cm/h)
1216;Moderada (2,0-6,0 cm/h)
1217;Rápida (6,0-12,5 cm/h)
1218;Muito rápida (12,5-25,0 cm/h)
1219;Extremamente rápida (≥ 25 cm/h)
1220;Fíbrico
1221;Hêmico
1222;Sáprico
1223;Histic
1370;Bruno-claro-acinzentado
1371;Bruno-amarelado-claro
1224;Mólico
1225;Fímico
1256;Permafrost
1279;Prismática (prismas sem extremidade superior arredondada)
1226;Úmbrico
1284;Granular (esferoidal ou poliédrica, relativamente não-porosa)
1227;Ócrico
1228;Árgico
1229;Nátrico
1230;Câmbico
1231;Espódico
1232;Ferrálico
1233;Propriedades níticas
1271;Moderada
1372;Amarelo-brunado
1234;Cálcico
1235;Petrocálcico
1280;Colunar (prismas com topos arredondados)
1281;Lítico
1236;Gípsico
1237;Petrogípsico
1238;Sulfúrico
1239;Álbico
1240;Mudança textural abrupta
1241;Fortemente húmico
1242;Floresta tropical - úmida***
1243;Fresco
1244;Propriedades ândicas
1245;Calcáreo
1246;Calcárico
1247;Rocha dura contínua
1248;Propriedades ferrálicas
1249;Propriedades férricas
1272;Forte
1373;Amarelo-brunado
1250;Propriedades flúvicas
1251;Propriedades géricas
1252;Propriedades gleicas e estágnicas
1253;Gipsífero
1254;'Interfingering'
1283;Blocos sub-angulares (faces planas e arredondadas misturadas com vértices, na maior parte, arredondado)
1255;Materiais orgânicos do solo
1257;Plintita
1258;Propriedades sálicas
1259;Slickensides
1260;Consistência besuntada
1261;Propriedades sódicas
1262;Cal macio
1263;Histosol
1264;Kastanozem
1265;Materiais sulfídricos
1266;'Tonguing'
1267;Propriedades vérticas
1268;Minerais intemperizáveis
1269;Sem estrutura
1270;Fraca
1273;Muito pequena
1274;Pequena
1275;Média
1276;Grande
1277;Muito grande
1278;Laminar (partículas dispostas em torno de um plano geralmente horizontal)
1282;Blocos angulares (delimitada por planos que se intersectam, na grande parte, com ângulos agudos)
1287;Grão simples (sem estrutura, grãos individuais)
1288;Cuneiforme (estrutura de horizontes com slickensides)
1289;Alofana
1290;Clorítica
1291;Ilítica
1292;Interestratificados ou mista
1293;Caulinítica
1294;Montmorillonítica
1295;Sesquioxídica
1296;Vermiculítica
1297;Floresta tropical - úmida
1298;Leptosol
1299;Luvisol
1300;Lixisol
1301;Nitisol
1302;Savana tropical, verão seco
1303;Savana tropical, inverno seco
1304;Clima de estepe - seco, quente
1305;Clima de estepe - seco, frio
1368;Cinza (claro)
1306;Clima desértico - seco, quente
1307;Petrocálcico
1308;Duripã
1309;Petroférrico
1310;Cinza-avermelhado-escuro
1311;Vermelho-acinzentado
1312;Vermelho-acinzentado
1313;Vermelho-acinzentado
1314;Vermelho
1315;Vermelho
1316;Cinza-avermelhado
1317;Vermelho-acinzentado
1318;Vermelho-acinzentado
1319;Vermelho-acinzentado
1320;Vermelho
1321;Vermelho
1322;Cinza-avermelhado
1323;Vermelho-claro-acinzentado
1324;Vermelho-claro-acinzentado
1325;Vermelho-claro-acinzentado
1326;Vermelho-claro
1327;Vermelho-claro
1328;Oliva
1329;Cinza
1330;Cinza-oliváceo
1331;Cinza
1332;Cinza-oliváceo
1333;- em branco -
1334;Cinza
1335;Cinza-oliváceo
1336;- em branco -
1337;- em branco -
1338;- em branco -
1339;Cinza-claro
1340;Cinza-claro
1341;- em branco -
1342;- em branco -
1343;- em branco -
1344;Cinza-claro
1345;- em branco -
1346;Cinza-claro
1347;- em branco -
1348;- em branco -
1349;- em branco -
1350;Preto
1351;Bruno muito escuro
1352;Cinza muito escuro
1353;Bruno-acinzentado muito escuro
1354;Bruno-escuro
1355;Bruno-amarelado-escuro
1356;Bruno-amarelado-escuro
1357;Cinza-escuro
1358;Bruno-acinzentado-escuro
1359;Bruno (escuro)
1360;Bruno-amarelado-escuro
1361;Bruno-amarelado-escuro
1362;Cinza
1363;Bruno-acinzentado
1364;Bruno
1365;Bruno-amarelado
1366;Bruno-amarelado
1367;Bruno-amarelado
1374;Cinza-claro
1375;Cinza-claro
1376;Bruno muito claro-acinzentado
1377;Bruno muito claro-acinzentado
1378;Amarelo
1379;Amarelo
1380;Branco
1381;Branco
1382;Bruno muito claro-acinzentado
1383;Bruno muito claro-acinzentado
1384;Amarelo
1385;Amarelo
1386;Preto
1387;Cinza muito escuro
1388;Bruno-acinzentado muito escuro
1389;Cinza-escuro
1390;Bruno-acinzentado-escuro
1391;Bruno-oliváceo
1392;Cinza
1393;Bruno-acinzentado
1394;Bruno-oliváceo-claro
1395;Bruno-oliváceo-claro
1396;Cinza (claro)
1397;Cinza-brunado-claro
1398;Bruno-amarelado-claro
1399;Amarelo-oliváceo
1400;Amarelo-oliváceo
1401;Cinza-claro
1402;Cinza-claro
1403;Amarelo-claro-acinzentado
1404;Amarelo
1405;Amarelo
1406;Branco
1407;Branco
1408;Amarelo-acinzentado-claro
1409;Amarelo
1410;Amarelo
1411;Preto
1412;Vermelho muito escuro-acinzentado
1413;Bruno-avermelhado-escuro
1414;Cinza muito escuro
1415;Vermelho-escuro-acinzentado
1416;Bruno-avermelhado-escuro
1417;Vermelho-escuro
1418;Cinza-escuro
1419;Vermelho-acinzentado
1420;Bruno-avermelhado
1421;Vermelho
1422;Vermelho
1423;Cinza
1424;Vermelho-acinzentado
1425;Bruno-avermelhado
1426;Vermelho
1427;Vermelho
1428;Cinza
1429;Vermelho-claro-acinzentado
1430;Bruno-avermelhado-claro
1431;Vermelho-claro
1432;Vermelho-claro
1433;Cinza-azulado-escuro
1434;Cinza-azulado
1435;Cinza-azulado
1436;Cinza-azulado-claro
1437;Cinza-esverdeado-escuro
1438;Cinza-esverdeado
1439;Cinza-esverdeado
1440;Cinza-esverdeado-claro
1441;Cinza-esverdeado-escuro
1442;Verde-acinzentado
1443;Cinza-esverdeado
1444;Verde-acinzentado
1445;Cinza-esverdeado
1446;Verde-claro-acinzentado
1447;Cinza-esverdeado-claro
1448;Verde-claro-acinzentado
1449;Cinza esverdeado-escuro
1450;Cinza-esverdeado
1451;Cinza-esverdeado
1452;Cinza-esverdeado-claro
1453;Preto-avermelhado
1454;Vermelho muito escuro-acinzentado
1455;Vermelho muito escuro-acinzentado
1456;Vermelho muito escuro-acinzentado
1457;Vermelho-escuro
1458;Cinza-avermelhado-escuro
1459;Vermelho-escuro-acinzentado
1460;Vermelho-escuro-acinzentado
1461;Vermelho-escuro-acinzentado
1462;Vermelho-escuro
1463;Vermelho-escuro
1464;Cinza-avermelhado-escuro
1465;Vermelho-acinzentado
1466;Vermelho-acinzentado
1467;Vermelho-acinzentado
1468;Vermelho
1469;Vermelho
1470;Cinza-avermelhado
1471;Vermelho-acinzentado
1472;Vermelho-acinzentado
1473;Vermelho-acinzentado
1474;Vermelho
1475;Vermelho
1476;Cinza-avermelhado
1477;Vermelho-claro-acinzentado
1478;Vermelho-claro-acinzentado
1479;Vermelho-claro-acinzentado
1480;Vermelho-claro
1481;Vermelho-claro
1482;Preto
1483;Preto
1484;Cinza muito escuro
1485;Cinza-oliváceo-escuro
1486;Cinza-escuro
1487;Cinza-oliváceo
1488;Oliva
1489;Oliva
1490;Cinza
1491;Cinza-oliváceo
1492;Oliva
1493;Oliva
1494;Oliva
1495;Cinza (claro)
1496;Cinza-oliváceo-claro
1497;Oliva-claro-acinzentado
1498;Oliva-claro-acinzentado
1499;Amarelo-oliváceo
1500;Amarelo oliva
1501;Cinza-claro
1502;Cinza-claro
1503;Amarelo-claro-acinzentado
1504;Amarelo-claro-acinzentado
1505;Amarelo
1506;Amarelo
1507;Branco
1508;Branco
1509;Amarelo-claro-acinzentado
1510;Amarelo-claro-acinzentado
1511;Amarelo
1512;Amarelo
1513;Preto
1514;Bruno-avermelhado-escuro
1515;Cinza muito escuro
1516;Bruno-avermelhado-escuro
1517;Bruno-avermelhado-escuro
1518;Bruno-avermelhado-escuro
1519;Cinza-escuro
1520;Cinza-escuro avermelhado
1521;Bruno-avermelhado
1522;Bruno-avermelhado
1523;Vermelho-amarelado
1524;Cinza
1525;Cinza-avermelhado
1526;Petrogípsico
1527;Pétrico
1528;Freático
1529;Sódico
1679;Arenito não-calcário
1621;Rocha metamórfica ultrabásica: serpentinito, greenstone
1622;Rocha sedimentar
1530;Clima de deserto - seco, frio
1531;Temperado quente - úmido em todas as estações, verão quente
1532;Phaeozem
1533;Planosol
1534;Plinthosol
1535;Podzol
1536;Regosol
1537;Solonchak
1538;Solonetz
1539;Temperado quente - úmido em todas as estações, verão morno
1540;Temperado quente - úmido em todas as estações, verão fresco curto
1541;Temperado quente - verão seco, quente
1542;Temperado quente - verão seco, morno
1608;Rocha metamórfica ácida
1543;Temperado quente - verão seco, verão fresco curto
1564;Clima temperado frio - úmido em todas estações, inverno muito frio
1566;Clima temperado frio - inverno seco, verão morno
1544;Temperado quente - inverno seco, verão quente
1545;Pedregoso
1546;Fragipã
1547;Salina
1548;Albeluvisol
1549;Acrisol
1550;Alisol
1551;Andosol
1552;Temperado quente - inverno seco, verão morno
1553;Stagnosol
1554;Technosol
1555;Umbrisol
1556;Vertisol
1557;Rocha ígnea
1558;Rocha ígnea ácida
1559;Oxigenado
1560;Temperado quente - inverno seco, verão fresco curto
1561;Clima temperado frio - úmido em todas as estações, verão quente
1562;Clima temperado frio - úmido em todas as estações, verão morno
1609;Rocha metamórfica ácida: quartzito
1610;Rocha metamórfica ácida: gnaisse, migmatito
1611;Rocha metamórfica ácida: ardósia, filito, (rochas pellitic)
1563;Clima temperado frio - úmido em todas as estações, verão fresco curto
1623;Sedimentos clásticos
1624;Sedimentos clásticos: conglomerados, brechas
1565;Clima temperado frio - inverno seco, verão quente
1567;Clima temperado frio - inverno seco, verão fresco curto
1568;Clima temperado frio - inverno seco, inverno muito frio
1569;Clima com geada
1570;Clima de tundra
1571;Clima de montanha/altitude, indiferenciado
1572;Cerrado
1573;Clima temperado frio - verão seco, morno
1574;Clima temperado frio - verão seco, verão fresco curto
1575;Clima temperado frio - verão seco, inverno muito frio
1576;Arenosol
1577;Anthrosol
1578;Chernozem
1579;Calcisol
1580;Cambisol
1581;Cryosol
1582;Durisol
1583;Fluvisol
1584;Ferralsol
1585;Gleysol
1586;Gypsisol
1587;Rocha ígnea ácida: diorito
1588;Rocha ígnea ácida: granodiorito
1589;Rocha ígnea ácida: quartzo-diorito
1590;Rocha ígnea ácida: riolito
1591;Rocha ígnea intermediária
1592;Rocha ígnea intermediária: andesito, traquito, fonólito
1593;Rocha ígnea intermediária: diorito-sienito
1594;Rocha ígnea básica
1595;Rocha ígnea básica: gabro
1596;Rocha ígnea básica: basalto
1597;Rocha ígnea básica: dolerito
1598;Rocha ígnea ultrabásica
1599;Rocha ígnea ultrabásica: peridotito
1600;Rocha ígnea ultrabásica: piroxenito
1601;Rocha ígnea ultrabásica: ilmenita, magnetita, ironstone, serpentina
1602;Rocha piroclástica
1603;Rocha piroclástica: tufo, tufito
1604;Rocha piroclástica: escória/brecha vulcânica
1605;Rocha piroclástica: cinza vulcânica
1606;Rocha piroclástica: ignimbrito
1607;Rocha metamórfica
1612;Rocha metamórfica ácida: xisto
1613;Rocha metamórfica básica
1614;Rocha metamórfica básica: ardósia, filito (rochas pelíticas)
1615;Rocha metamórfica básica: xisto (verde)
1616;Rocha metamórfica básica: gnaisse rico em minerais ferro-magnesianos
1617;Rocha metamórfica básica: calcário metamórfico (mármore)
1618;Rocha metamórfica básica: anfibolito
1619;Rocha metamórfica básica: eclogito
1620;Rocha metamórfica ultrabásica
1625;Sedimentos clásticos: arenito, grauvaque, arcósio
1626;Sedimentos clásticos: siltito, argilito (mudstone), argilito
1627;Sedimentos clásticos: argilito (shale)
1628;Sedimentos clásticos: ironstone
1629;Rocha sedimentar orgânica ou carbonática
1630;Rocha sedimentar orgânica ou carbonática: calcário, outras rochas carbonáticas
1631;Dolerito
1632;Rocha sedimentar orgânica ou carbonática: marga e outras misturas
1633;Rocha sedimentar orgânica ou carbonática: carvões, betume e rochas relacionadas
1634;Evaporitos
1635;Evaporitos: anidrita, gipsita
1636;Evaporitos: halita
1637;Rocha não-consolidada
1638;Resíduo intemperizado
1639;Resíduo intemperizado: bauxita, laterita
1640;Rocha não-consolidada: fluvial
1641;Rocha fluvial não-consolidada: areia e cascalho
1642;Rocha fluvial não-consolidada: argila, silte e greda
1643;Rocha não-consolidada: lacustre
1644;Rocha lacustre não-consolidada: areia
1645;Rocha lacustre não-consolidada: silte e argila
1646;Rocha não-consolidada: marinha
1647;Rocha marinha não-consolidada: areia
1648;Rocha marinha não-consolidada: argila e silte
1649;Rocha não-consolidada: coluvial
1650;Rocha coluvial não-consolidada: depósitos de encosta
1651;Rocha coluvial não-consolidada: lahar
1652;Rocha não-consolidada: eólica
1653;Rocha não-consolidada: rocha eólica: loess
1654;Rocha não-consolidada: rocha eólica: areia
1655;Rocha não-consolidada: glacial
1656;Rocha glacial não-consolidada: morena/moraina
1657;Rocha glacial não-consolidada: areias glacio-fluviais
1658;Rocha criogênica não-consolidada
1659;Rocha criogênica não-consolidada: detritos rochosos periglaciais
1660;Rocha criogênica não-consolidada: camada de solifluxão periglacial
1661;Rocha não-consolidada: piroclástico
1662;Rocha não-consolidada: orgânico
1663;Rocha orgânica não-consolidada: turfeira alimentada pela água da chuva
1664;Rocha orgânica não-consolidada: turfeira alimentada por águas subterrâneas
1665;Rocha antropogênica/tecnogênica não-consolidada
1666;Rocha antropogênica/tecnogênica não-consolidada: material natural redepositado
1667;Rocha antropogênica/tecnogênica não-consolidada: depósitos industriais/artesanais
1668;Depósitos não-consolidados e não-especificados
1669;Depósitos não-consolidados e não-especificados: argila
1670;Depósitos não-consolidados e não-especificados: greda e silte
1671;Depósitos não-consolidados e não-especificados: areia
1672;Depósitos não-consolidados e não-especificados: areia cascalhenta
1673;Depósitos não-consolidados e não-especificados: cascalho, rocha fragmentada
1674;Derivados de medições com GPS
1675;Convertido a partir de dados GMS, disponível até segundos
1676;Convertido a partir de dados GMS, disponível apenas até minutos
1677;Convertido a partir de outras fontes (descrição, localização, etc.)
1678;Arenito
1680;Arenito arcósico
1681;Grauvaque
1682;Arenito calcário
1683;Rocha ígnea/metamórfica ácida
1684;Andesito
1685;Rocha sedimentar inter-estratificada
1686;Calcário/arenito/argilito (shale)
1687;Calcário/arenito
1688;Calcário/argilito (shale)
1689;Calcário/siltito
1690;Arenito/argilito (shale)
1691;Arenito/siltito
1692;Argilito (shale)/siltito
1693;Rocha ígnea/metamórfica básica
1694;Basalto
1695;Conglomerado
1696;Conglomerado, não-calcário
1697;Conglomerado, calcário
1698;Conglomerado
1699;Diorito
1700;Dolomito
1701;Rochas piroclásticas não-consolidadas
1702;Cinzas ejetadas
1703;Cinzas ácidas
1704;Cinzas básicas
1705;Lapili
1706;Lapili ácido
1707;Lapili básico
1708;Bombas vulcânicas
1709;Evaporitos
1710;Gabbro
1711;Granito/gnaisse
1712;Gnaisse
1713;Granito
1714;Gipsita
1715;Argilito (shale)
1716;Argilito (shale) não-calcário
1717;Argilito (shale) calcário
1718;Rocha ígnea
1719;Rocha ígnea de granulação grossa
1720;Rocha ígnea básica de granulação grossa
1721;Rocha ígnea intermediária de granulação grossa 
1722;Rocha ígnea ácida de granulação grossa
1723;Rocha ígnea de granulação fina
1724;Rocha ígnea básica de granulação fina
1725;Rocha ígnea intermediária de granulação fina
1726;Rocha ígnea ácida de granulação fina
1727;Rocha ígnea ultrabásica de granulação fina
1728;Material orgânico
1729;Material musgoso
1730;Material herbáceo
1731;Material lenhoso
1732;Fragmentos de madeira, pequeno
1733;Fragmentos de madeira, grande
1734;Carvão
1735;Calcário
1736;Cré
1737;Mármore
1738;Calcário dolomítico
1739;Calcário fosfatada
1740;Calcário arenoso
1741;Calcário argiloso
1742;Calcário chertificado (com sílex)
1743;Calcário
1744;Rocha metamórfica
1745;Gnaisse
1746;Gnaisse ácido
1747;Gnaisse básico
1748;Serpentinito
1749;Xisto
1750;Xisto ácido
1751;Xisto básico
1752;Ardósia
1753;Quartzito
1755;Não conhecido
1756;Piroclástica, consolidada
1757;Tufo
1758;Tufo ácido
1759;Tufo básico
1760;Brecha vulcânica
1761;Brecha vulcânica ácida
1762;Brecha vulcânica básica
1763;Tufo-brecha
1764;Escória/cinzas
1765;Pomes
1766;Rocha piroclástica
1767;Arenito quartzítico
1768;Quartzito
1769;Rocha sedimentar
1770;Marga
1771;Glauconita
1772;Arenito
1773;Xisto
1774;Rocha sedimentar
1775;Argilito (shale)
1776;Siltito
1777;Siltito
1778;Siltito não-calcário
1779;Siltito calcário
1780;Travertino
1781;Tufo
1782;Argilito
1783;Argilito não-calcário
1784;Argilito calcário
1785;Rocha ultrabásica
1786;Rocha vulcânica
1787;Material altamente intemperizado
1788;Materiais lateritico
1789;Materiais bauxítico
1790;Não-calcário ou ácido
1791;Calcário
1792;Litologia mista
1793;Ígnea/metamórfica/sedimentar
1794;Ígnea e metamórfica
1795;Ígnea e sedimentar
1796;Metamórfica/sedimentar
1797;Litologia e composição mista
1798;Aluvião
1799;Eólico misto/indiferenciado
1800;Loess eólico
1801;Areia eólica
1802;Cinzas ejetadas
1803;Sedimentos lacustre
1804;Sedimentos estuarinos
1805;Sedimentos marinhos
1806;Colúvio
1807;'Slope wash'
1808;Sedimentos flúvio-glaciais
1809;Materiais empurrados por geleiras
1810;Acumulação glácio-fluvial
1811;'Till' glacial
1812;'Drift' glacial
1813;Sedimentos orgânicos
1814;Material residual
1815;Não-consolidado, não-especificado
1816;Rocha sólida
1817;Artificial
1818;Arenosa
1819;Argilo-arenosa
1820;Siltosa
1821;Franca
1822;Argilosa
1823;Cascalhenta
1824;Pedregosa
1825;Mista
2115;Micro
1826;Orgânica
1827;Ligeira
1828;Parcial/moderada
1829;Alta
1830;Muito alta
1831;Alta
1832;Moderada
1833;Baixa
1834;Sul
1835;Sul-sudeste
1836;Sudeste
1837;Leste-sudeste
1838;Leste
1839;Leste-nordeste
1840;Nordeste
1841;Norte-nordeste
1842;Norte
1843;Norte-noroeste
1844;Noroeste
1845;Oeste-noroeste
1846;Oeste
1847;Oeste-sudoeste
1848;Sudoeste
1849;Sul-sudoeste
1850;Convexo
1851;Côncavo
1852;Retilíneo
1853;Complexo
1854;Ondulante
1855;Crista/topo/cume
1856;Terço superior
1857;Terço médio
1858;Terço inferior
1859;Relevo não especificado
1860;Plano
1861;Depressão aberta
1862;Depressão (fechada)
1863;Nenhum
1864;Diariamente
1865;Mensalmente
1866;Anualmente
1867;Irregular
1868;Alagado
1869;Muito lento
1870;Lento
1871;Médio
1872;Rápido
1873;Muito rápido
1874;Salina
1875;Parada ou estagnada
1876;Laminar
1877;Sulcos
1878;Voçorocas/ravinas
1879;Vento
1880;Nenhum
1881;Ligeira
1882;Moderada
1883;Severa
1884;Ausente
1885;Pouco rochoso
1886;Relativamente rochoso
1887;Rochoso
1888;Extremamente rochoso
1889;Muito rochoso
1890;Afloramento
1891;Ausente
1892;Muito pouco pedregoso
