UnitId;Unit
1;centímetro
2;centímetro por hora
3;centimol (carga) por quilograma
4;centimol (carga) por litro
5;número de dias
6;graus Celsius
7;deciSiemens por metro
8;grama por quilograma
9;metro por quilometro
10;metro
11;miligrama por quilograma
12;milimetro
13;percentagem
14;percentagem de volume por volume
15;percentagem de massa por massa
16;quilograma por decímetro cúbico
17;valor redox
18;reflectância
