DomainId;Name
51;"Domínio de valores para consistência da crosta superficial (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
52;"Domínio de valores para largura das rachaduras superficiais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
53;"Domínio de valores para profundidade das rachaduras superficiais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
54;"Domínio de valores para distância entre rachaduras superficiais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
55;"Domínio de valores para cobertura superficial com sal ou areia esbranquiçada (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
56;"Domínio de valores para nitidez do limite do horizonte do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
57;"Domínio de valores para topografia do limite do horizonte do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
58;"Domínio de valores para classe de textura do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
59;"Domínio de valores para abundância de fragmentos rochosos e artefatos, por volume (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
60;"Domínio de valores para tamanho dos fragmentos de rocha (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
61;"Domínio de valores para tamanho dos artefatos (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
62;"Domínio de valores para forma dos fragmentos de rocha (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
63;"Domínio de valores para estado de intemperismo dos fragmentos grosseiros e artefatos (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
64;"Domínio de valores para natureza dos fragmentos de rocha (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
65;"Domínio de valores para grau de decomposição e humificação da turfa (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
66;"Domínio de valores para camada orgânica aeromórfica no assoalho da floresta (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
67;"Domínio de valores para abundância de mosqueados (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
68;"Domínio de valores para tamanho dos mosqueados (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
69;"Domínio de valores para contraste dos mosqueados (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
70;"Domínio de valores para limite dos mosqueados (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
71;"Domínio de valores para reação de carbonato na matriz do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
72;"Domínio de valores para forma de carbonatos secundários (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
73;"Domínio de valores para conteúdo de gesso (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
74;"Domínio de valores para forma de gesso secundário (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
75;"Domínio de valores para grau da estrutura dos materiais pédicos do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
76;"Domínio de valores para tipo de estrutura (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
77;"Domínio de valores para classe de tamanho dos tipos de estrutura (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
78;"Domínio de valores para relação estrutural composta (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
79;"Domínio de valores para consistência quando seco (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
80;"Domínio de valores para consistência quando úmido (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
81;"Domínio de valores para consistência quando molhado: máxima pegajosidade (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
82;"Domínio de valores para consistência quando molhado: máxima plasticidade (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
83;"Domínio de valores para status da água do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
